date,balance,Type,type,price,quantity,date,Type,Metric,Value,Type,Date,Date,Open,High,Low,Close,Adj Close,Volume,bb_upper,bb_lower,kc_upper,kc_lower,chaikin,sma_100,signal_long,signal_short,buy_signal,sell_signal,Type
2020-01-01,98000.0,Performance,buy,121.97000122070312,16.397474624772908,2020-01-01,Trade History,Total Return,-0.08345622014925758,Metrics,,2020-01-01,121.97000122070312,122.08999633789062,121.31999969482422,121.97000122070312,121.97000122070312,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-02,96040.0,Performance,buy,121.9729995727539,16.069130109659294,2020-01-02,Trade History,Annualized Return,-0.02707124726018284,Metrics,,2020-01-02,121.96900177001952,122.01499938964844,120.9990005493164,121.9729995727539,121.9729995727539,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-03,94119.2,Performance,buy,121.24500274658205,15.842302416494013,2020-01-03,Trade History,Annualized Volatility,0.2043637676781169,Metrics,,2020-01-03,121.23999786376952,121.2770004272461,120.1750030517578,121.24500274658205,121.24500274658205,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-06,92236.81599999999,Performance,buy,120.5009994506836,15.621314417150433,2020-01-06,Trade History,Max Drawdown,-0.14087315030039638,Metrics,,2020-01-06,120.54299926757812,121.26599884033205,120.4749984741211,120.5009994506836,120.5009994506836,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-07,90392.07968,Performance,buy,121.36000061035156,15.200529916960553,2020-01-07,Trade History,Sharpe Ratio,-0.23033068823786024,Metrics,,2020-01-07,121.36799621582033,121.44000244140624,120.78700256347656,121.36000061035156,121.36000061035156,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-08,88584.2380864,Performance,buy,120.48500061035156,15.004702530952867,2020-01-08,Trade History,,,,,2020-01-08,120.43499755859376,121.23699951171876,120.1750030517578,120.48500061035156,120.48500061035156,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-09,86812.553324672,Performance,buy,121.16899871826172,14.621601073451673,2020-01-09,Trade History,,,,,2020-01-09,121.2030029296875,121.6750030517578,121.16000366210938,121.16899871826172,121.16899871826172,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-10,85076.30225817856,Performance,buy,121.65399932861328,14.272042646156311,2020-01-10,Trade History,,,,,2020-01-10,121.6449966430664,121.81700134277344,121.52999877929688,121.65399932861328,121.65399932861328,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-13,87301.32313252169,Performance,buy,121.79199981689452,13.97075380748894,2020-01-13,Trade History,,,,,2020-01-13,121.75599670410156,122.47699737548828,121.75,121.79199981689452,121.79199981689452,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-14,87523.3794158353,Performance,sell,121.79199981689452,16.397474624772908,2020-01-13,Trade History,,,,,2020-01-14,122.47200012207033,122.71600341796876,122.19000244140624,122.47599792480467,122.47599792480467,0.0,,,,,0.0,,0.0,0.0,,,Data with Signals
2020-01-15,85772.91182751859,Performance,sell,121.79199981689452,15.842302416494013,2020-01-13,Trade History,,,,,2020-01-15,122.26399993896484,122.70999908447266,122.20999908447266,122.24199676513672,122.24199676513672,0.0,,,,,0.0,,0.0,0.0,,,Data with Signals
2020-01-16,85971.7363121477,Performance,buy,122.47599792480467,14.256070513688925,2020-01-14,Trade History,,,,,2020-01-16,122.53900146484376,122.8489990234375,122.51599884033205,122.54299926757812,122.54299926757812,0.0,,,,,0.0,,0.0,0.0,,,Data with Signals
2020-01-17,86117.33059942738,Performance,sell,122.47599792480467,16.069130109659294,2020-01-14,Trade History,,,,,2020-01-17,122.69100189208984,122.83399963378906,122.12000274658205,122.69499969482422,122.69499969482422,0.0,,,,,0.0,,0.0,0.0,,,Data with Signals
2020-01-20,87973.45116469017,Performance,buy,122.24199676513672,14.319690733454523,2020-01-15,Trade History,,,,,2020-01-20,122.25499725341795,122.31076049804688,122.01000213623048,122.22899627685548,122.22899627685548,0.0,,,,,0.0,,0.0,0.0,,,Data with Signals
2020-01-21,88001.48748619502,Performance,buy,122.54299926757812,13.998826916294027,2020-01-16,Trade History,,,,,2020-01-21,122.2509994506836,122.36699676513672,121.8759994506836,122.2509994506836,122.2509994506836,0.0,,,,,0.0,,0.0,0.0,,,Data with Signals
2020-01-22,86241.45773647113,Performance,sell,122.54299926757812,15.621314417150433,2020-01-16,Trade History,,,,,2020-01-22,121.84600067138672,122.00499725341795,121.58999633789062,121.83799743652344,121.83799743652344,0.0,,,,,0.0,,0.0,0.0,,,Data with Signals
2020-01-23,86217.56785780349,Performance,buy,122.69499969482422,14.013894050447492,2020-01-17,Trade History,,,,,2020-01-23,121.75900268554688,121.7750015258789,120.63899993896484,121.75,121.75,0.0,,,,,0.0,,0.0,0.0,,,Data with Signals
2020-01-24,86219.65511458094,Performance,sell,122.69499969482422,15.200529916960553,2020-01-17,Trade History,,,,,2020-01-24,121.12000274658205,121.21800231933594,120.5,121.10199737548828,121.10199737548828,0.0,,,,,0.0,,0.0,0.0,,,Data with Signals
2020-01-27,87893.87542065112,Performance,buy,122.22899627685548,14.09114583651932,2020-01-20,Trade History,,,,,2020-01-27,119.97000122070312,120.38200378417967,119.9000015258789,119.9499969482422,119.9499969482422,0.0,,,,,0.0,,0.0,0.0,,,Data with Signals
2020-01-28,87816.15116967828,Performance,sell,122.22899627685548,15.004702530952867,2020-01-20,Trade History,,,,,2020-01-28,120.0199966430664,120.2040023803711,119.81099700927734,120.02100372314452,120.02100372314452,0.0,123.1584148085448,119.96618388530284,123.35345711959036,119.77114157425729,0.0,,0.0,0.0,,,Data with Signals
2020-01-29,86059.82814628472,Performance,sell,122.22899627685548,14.272042646156311,2020-01-20,Trade History,,,,,2020-01-29,120.28800201416016,120.35700225830078,119.90499877929688,120.28700256347656,120.28700256347656,0.0,123.15484018329242,119.80145864483258,123.14750972929454,119.73417529151553,0.0,,0.0,0.0,,,Data with Signals
2020-01-30,86030.0481345367,Performance,buy,122.2509994506836,14.392266985134777,2020-01-21,Trade History,,,,,2020-01-30,120.04100036621094,120.0989990234375,119.80699920654295,120.03399658203124,120.03399658203124,0.0,123.15372140943231,119.60867711962044,122.94241387849492,119.67130048929157,0.0,,0.0,0.0,,,Data with Signals
2020-01-31,86037.42597383138,Performance,sell,122.2509994506836,14.621601073451673,2020-01-21,Trade History,,,,,2020-01-31,120.10900115966795,120.38999938964844,120.05599975585938,120.06300354003906,120.06300354003906,0.0,123.18534422321832,119.4588543851801,122.73599438104526,119.64079548314996,0.0,,0.0,0.0,,,Data with Signals
2020-02-03,87763.83619788196,Performance,buy,121.83799743652344,14.445655598048228,2020-01-22,Trade History,,,,,2020-02-03,120.177001953125,120.37100219726562,119.91999816894533,120.1750030517578,120.1750030517578,0.0,123.20288774269368,119.40871122581218,122.57799597412651,119.60576686524209,0.0,,0.0,0.0,,,Data with Signals
2020-02-04,87710.73565014033,Performance,buy,121.75,14.166974576833042,2020-01-23,Trade History,,,,,2020-02-04,120.1500015258789,120.81453704833984,120.0709991455078,120.1510009765625,120.1510009765625,0.0,123.20760622007712,119.28309278504982,122.48847986061223,119.51606765625696,0.0,,0.0,0.0,,,Data with Signals
2020-02-05,85956.52093713752,Performance,sell,121.75,13.97075380748894,2020-01-23,Trade History,,,,,2020-02-05,120.86900329589844,121.14299774169922,120.6500015258789,120.88200378417967,120.88200378417967,0.0,123.20418218950601,119.32621713300375,122.52443390383517,119.45720504650929,0.0,,0.0,0.0,,,Data with Signals
2020-02-06,85973.90256542723,Performance,buy,121.10199737548828,14.238834986425154,2020-01-24,Trade History,,,,,2020-02-06,120.78500366210938,121.0019989013672,120.5770034790039,120.79299926757812,120.79299926757812,0.0,123.19601072866307,119.29678864877833,122.44048687607038,119.50347203473235,0.0,,0.0,0.0,,,Data with Signals
2020-02-07,86022.83270957213,Performance,sell,121.10199737548828,14.256070513688925,2020-01-24,Trade History,,,,,2020-02-07,120.74500274658205,120.7519989013672,120.11299896240234,120.73999786376952,120.73999786376952,0.0,123.15279855986184,119.24860067109519,122.40805940921805,119.49171253175004,0.0,,0.0,0.0,,,Data with Signals
2020-02-10,87775.53739449954,Performance,buy,119.9499969482422,14.375932856719333,2020-01-27,Trade History,,,,,2020-02-10,120.02300262451172,120.33100128173828,119.7699966430664,120.0459976196289,120.0459976196289,0.0,123.10762747807446,119.119171533156,122.36786328081968,119.35973945046172,0.0,,0.0,0.0,,,Data with Signals
2020-02-11,87737.33733088078,Performance,sell,119.9499969482422,14.319690733454523,2020-01-27,Trade History,,,,,2020-02-11,119.74700164794922,120.01799774169922,119.5999984741211,119.76300048828124,119.76300048828124,0.0,122.9517613526096,119.00373791496853,122.2047333282937,119.31319304539541,0.0,,0.0,0.0,,,Data with Signals
2020-02-12,85982.59058426316,Performance,sell,119.9499969482422,14.013894050447492,2020-01-27,Trade History,,,,,2020-02-12,119.91000366210938,120.27899932861328,119.76000213623048,119.93000030517578,119.93000030517578,0.0,122.79687474189359,118.92742487968843,122.08694869606967,119.27307998587301,0.0,,0.0,0.0,,,Data with Signals
2020-02-13,85973.44937246325,Performance,buy,120.02100372314452,14.646415659612071,2020-01-28,Trade History,,,,,2020-02-13,119.4810028076172,119.58599853515624,118.88999938964844,119.45999908447266,119.45999908447266,0.0,122.57247452936103,118.84352507391044,122.03485843125611,119.09278639230587,0.0,,0.0,0.0,,,Data with Signals
2020-02-14,85992.29610387167,Performance,sell,120.02100372314452,13.998826916294027,2020-01-28,Trade History,,,,,2020-02-14,119.02200317382812,119.2229995727539,118.87999725341795,118.98999786376952,118.98999786376952,0.0,122.29466055469155,118.75083886547446,121.85534824979162,118.97252046938722,0.0,,0.0,0.0,,,Data with Signals
2020-02-17,87694.77096898733,Performance,buy,120.28700256347656,14.601103909516224,2020-01-29,Trade History,,,,,2020-02-17,118.99700164794922,119.19570922851562,118.91300201416016,119.0250015258789,119.0250015258789,0.0,122.06648854916517,118.6586113959032,121.63964041215335,118.923669672033,0.0,,0.0,0.0,,,Data with Signals
2020-02-18,87634.75830541563,Performance,buy,120.03399658203124,14.339242314150797,2020-01-30,Trade History,,,,,2020-02-18,119.01499938964844,119.01499938964844,118.46199798583984,119.0189971923828,119.0189971923828,0.0,121.7651515139018,118.63674820533649,121.49729411313501,118.82550971396364,0.0,,0.0,0.0,,,Data with Signals
2020-02-19,85882.06313930731,Performance,sell,120.03399658203124,14.09114583651932,2020-01-30,Trade History,,,,,2020-02-19,118.66100311279295,120.08599853515624,118.62000274658205,118.65799713134766,118.65799713134766,0.0,121.55382234770772,118.53007734101297,121.50612216983606,118.53031884160512,0.0,,0.0,0.0,,,Data with Signals
2020-02-20,85887.37228859923,Performance,buy,120.06300354003906,14.330817253934029,2020-01-31,Trade History,,,,,2020-02-20,120.21099853515624,121.37100219726562,120.10800170898438,120.22000122070312,120.22000122070312,0.0,121.26360355401293,118.66729625677807,121.90039733009348,118.17447810324913,0.0,,0.0,0.0,,,Data with Signals
