Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Metric,Value,date
353.0,148.0,155.0,283.09505877685547,282.9200134277344,-61.79100823974545,-0.0006183271084893027,2018-08-03,2018-08-14,11 days,,,
351.0,157.0,165.0,283.96679388427737,290.29998779296875,2222.951061950676,0.02230258623574244,2018-08-16,2018-08-28,12 days,,,
-389.0,240.0,255.0,262.43407147216794,256.82000732421875,2183.870953552236,0.021392283846591087,2018-12-14,2019-01-08,25 days,,,
365.0,312.0,318.0,285.2694122314453,287.7200012207031,894.4649810791057,0.00859043726450981,2019-04-01,2019-04-09,8 days,,,
360.0,417.0,424.0,292.30344122314455,297.3599853515625,1820.3558862304635,0.01729895517910718,2019-08-29,2019-09-10,12 days,,,
-340.0,632.0,640.0,313.9807653808594,321.42999267578125,-2532.7372802734308,-0.02372510712841258,2020-07-08,2020-07-20,12 days,,,
277.0,756.0,758.0,376.0606175537109,369.7099914550781,-1759.123429321286,-0.01688724051974355,2021-01-04,2021-01-06,2 days,,,
277.0,758.0,766.0,370.44941143798826,378.3399963378906,2185.692017272955,0.02130003357077337,2021-01-06,2021-01-19,13 days,,,
269.0,779.0,786.0,388.97641223144535,390.4200134277344,388.3287218017473,0.0037112821006484165,2021-02-05,2021-02-17,12 days,,,
-267.0,1245.0,1246.0,393.32176538085935,410.2200012207031,-4511.828969238289,-0.04296288008236959,2022-12-12,2022-12-13,1 days,,,
245.0,1246.0,1254.0,411.0404412231445,379.6499938964844,-7690.659595031733,-0.07636826983070255,2022-12-13,2022-12-23,10 days,,,
236.0,1310.0,1317.0,394.0064412231445,395.7699890136719,416.1972785644557,0.004475936446756146,2023-03-17,2023-03-28,11 days,,,
226.0,1348.0,1356.0,412.77391223144537,417.0799865722656,973.1728010253787,0.010432040914460261,2023-05-11,2023-05-23,12 days,,,
209.0,1424.0,1431.0,450.40902978515624,448.239990234375,-453.3292661132782,-0.0048157106259967275,2023-08-30,2023-09-11,12 days,,,
182.0,1579.0,1586.0,515.3987351074219,501.7799987792969,-2478.6100117187516,-0.02642368985497512,2024-04-12,2024-04-23,11 days,,,
,,,,,,,,,,Start,2018-01-02 00:00:00,
,,,,,,,,,,End,2024-06-26 00:00:00,
,,,,,,,,,,Duration,2367 days 00:00:00,
,,,,,,,,,,Exposure Time [%],7.296137339055794,
,,,,,,,,,,Equity Final [$],91596.95414154053,
,,,,,,,,,,Equity Peak [$],113089.7552809448,
,,,,,,,,,,Return [%],-8.403045858459475,
,,,,,,,,,,Buy & Hold Return [%],102.96537264726973,
,,,,,,,,,,Return (Ann.) [%],-1.3469823761919963,
,,,,,,,,,,Volatility (Ann.) [%],4.4254760492537475,
,,,,,,,,,,Sharpe Ratio,0.0,
,,,,,,,,,,Sortino Ratio,0.0,
,,,,,,,,,,Calmar Ratio,0.0,
,,,,,,,,,,Max. Drawdown [%],-20.0704654407868,
