Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Metric,Value,date
353.0,148.0,155.0,283.09505877685547,282.9200134277344,-61.79100823974545,-0.0006183271084893027,2018-08-03,2018-08-14,11 days,,,
351.0,157.0,165.0,283.96679388427737,290.29998779296875,2222.951061950676,0.02230258623574244,2018-08-16,2018-08-28,12 days,,,
358.0,312.0,318.0,285.2694122314453,287.7200012207031,877.310858154301,0.00859043726450981,2019-04-01,2019-04-09,8 days,,,
352.0,417.0,424.0,292.30344122314455,297.3599853515625,1779.9035332031199,0.01729895517910718,2019-08-29,2019-09-10,12 days,,,
278.0,756.0,758.0,376.0606175537109,369.7099914550781,-1765.4740554199188,-0.01688724051974355,2021-01-04,2021-01-06,2 days,,,
278.0,758.0,766.0,370.44941143798826,378.3399963378906,2193.582602172857,0.02130003357077337,2021-01-06,2021-01-19,13 days,,,
270.0,779.0,786.0,388.97641223144535,390.4200134277344,389.7723229980363,0.0037112821006484165,2021-02-05,2021-02-17,12 days,,,
256.0,1246.0,1254.0,411.0404412231445,379.6499938964844,-8035.954515624995,-0.07636826983070255,2022-12-13,2022-12-23,10 days,,,
247.0,1310.0,1317.0,394.0064412231445,395.7699890136719,435.5963042602566,0.004475936446756146,2023-03-17,2023-03-28,11 days,,,
237.0,1348.0,1356.0,412.77391223144537,417.0799865722656,1020.5396187744016,0.010432040914460261,2023-05-11,2023-05-23,12 days,,,
219.0,1424.0,1431.0,450.40902978515624,448.239990234375,-475.01966162109056,-0.0048157106259967275,2023-08-30,2023-09-11,12 days,,,
191.0,1579.0,1586.0,515.3987351074219,501.7799987792969,-2601.178638671877,-0.02642368985497512,2024-04-12,2024-04-23,11 days,,,
,,,,,,,,,,Start,2018-01-02 00:00:00,
,,,,,,,,,,End,2024-06-26 00:00:00,
,,,,,,,,,,Duration,2367 days 00:00:00,
,,,,,,,,,,Exposure Time [%],5.702023298589822,
,,,,,,,,,,Equity Final [$],95980.23842193602,
,,,,,,,,,,Equity Peak [$],106235.65564440917,
,,,,,,,,,,Return [%],-4.019761578063975,
,,,,,,,,,,Buy & Hold Return [%],102.96537264726973,
,,,,,,,,,,Return (Ann.) [%],-0.6319019832189632,
,,,,,,,,,,Volatility (Ann.) [%],2.783271143464192,
,,,,,,,,,,Sharpe Ratio,0.0,
,,,,,,,,,,Sortino Ratio,0.0,
,,,,,,,,,,Calmar Ratio,0.0,
,,,,,,,,,,Max. Drawdown [%],-10.843662817326628,
,,,,,,,,,,Avg. Drawdown [%],-3.3251027052180264,
,,,,,,,,,,Max. Drawdown Duration,1230 days 00:00:00,
,,,,,,,,,,Avg. Drawdown Duration,384 days 00:00:00,
,,,,,,,,,,# Trades,12,
,,,,,,,,,,Win Rate [%],58.333333333333336,
,,,,,,,,,,Best Trade [%],2.230258623574244,
,,,,,,,,,,Worst Trade [%],-7.6368269830702555,
,,,,,,,,,,Avg. Trade [%],-0.34366819057227715,
,,,,,,,,,,Max. Trade Duration,13 days 00:00:00,
,,,,,,,,,,Avg. Trade Duration,11 days 00:00:00,
,,,,,,,,,,Profit Factor,0.7042521891593763,
,,,,,,,,,,Expectancy [%],-0.30834971856591364,
,,,,,,,,,,SQN,-0.40929721486907505,
,,,,,,,,,,_strategy,LongOnlyBollingerKeltnerChaikinSMAStrategy,
,,,,,,,,,,_equity_curve,"                   Equity  DrawdownPct DrawdownDuration
2018-01-02  100000.000000     0.000000              NaT
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2024-06-20   95980.238422     0.096535              NaT
2024-06-21   95980.238422     0.096535              NaT
2024-06-24   95980.238422     0.096535              NaT
2024-06-25   95980.238422     0.096535              NaT
2024-06-26   95980.238422     0.096535        1230 days

[1631 rows x 3 columns]",
,,,,,,,,,,_trades,"    Size  EntryBar  ExitBar  EntryPrice   ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration
0    353       148      155  283.095059  282.920013   -61.791008  -0.000618 2018-08-03 2018-08-14  11 days
1    351       157      165  283.966794  290.299988  2222.951062   0.022303 2018-08-16 2018-08-28  12 days
2    358       312      318  285.269412  287.720001   877.310858   0.008590 2019-04-01 2019-04-09   8 days
3    352       417      424  292.303441  297.359985  1779.903533   0.017299 2019-08-29 2019-09-10  12 days
4    278       756      758  376.060618  369.709991 -1765.474055  -0.016887 2021-01-04 2021-01-06   2 days
5    278       758      766  370.449411  378.339996  2193.582602   0.021300 2021-01-06 2021-01-19  13 days
6    270       779      786  388.976412  390.420013   389.772323   0.003711 2021-02-05 2021-02-17  12 days
7    256      1246     1254  411.040441  379.649994 -8035.954516  -0.076368 2022-12-13 2022-12-23  10 days
8    247      1310     1317  394.006441  395.769989   435.596304   0.004476 2023-03-17 2023-03-28  11 days
9    237      1348     1356  412.773912  417.079987  1020.539619   0.010432 2023-05-11 2023-05-23  12 days
10   219      1424     1431  450.409030  448.239990  -475.019662  -0.004816 2023-08-30 2023-09-11  12 days
11   191      1579     1586  515.398735  501.779999 -2601.178639  -0.026424 2024-04-12 2024-04-23  11 days",
