Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Metric,Value,date
4402.0,228.0,235.0,22.715340076446534,24.600000381469727,8296.274662712094,0.08296861498355423,2018-11-27,2018-12-07,10 days,,,
5083.0,290.0,292.0,21.303856132507324,19.874666213989254,-7264.572355827348,-0.06708597305711639,2019-02-28,2019-03-04,4 days,,,
1913.0,592.0,596.0,52.80606967163086,52.689998626708984,-222.04390893554503,-0.002198062564467529,2020-05-11,2020-05-15,4 days,,,
1909.0,596.0,601.0,52.7953786239624,54.81133270263672,3848.4563361892756,0.038184290580299596,2020-05-15,2020-05-22,7 days,,,
1905.0,601.0,606.0,54.920955368041994,57.20000076293945,4341.581477279658,0.04149682720602521,2020-05-22,2020-06-01,10 days,,,
1901.0,606.0,659.0,57.31440076446533,110.99933624267578,102055.06234407806,0.9366744616039826,2020-06-01,2020-08-14,74 days,,,
1897.0,659.0,676.0,111.22133491516114,118.86666870117188,14503.198192062371,0.06873981320079059,2020-08-14,2020-09-09,26 days,,,
1540.0,697.0,701.0,146.43896081542968,149.92666625976562,5371.066384277354,0.023816786358732855,2020-10-08,2020-10-14,6 days,,,
1537.0,701.0,706.0,150.22651959228514,140.89999389648438,-14334.86999444578,-0.0620830844055561,2020-10-14,2020-10-21,7 days,,,
1002.0,816.0,824.0,215.97107327270507,237.5666656494141,21638.78356146244,0.09999298540059764,2021-03-31,2021-04-13,13 days,,,
1000.0,824.0,832.0,238.0417989807129,239.9333343505859,1891.5353698729973,0.00794623203980338,2021-04-13,2021-04-23,10 days,,,
1070.0,900.0,908.0,224.36783816528322,237.57000732421875,14126.32100006102,0.058841629294524855,2021-07-30,2021-08-11,12 days,,,
723.0,991.0,995.0,351.605126953125,315.0,-26465.506787109392,-0.10410862682899702,2021-12-08,2021-12-14,6 days,,,
836.0,1046.0,1052.0,272.2133534545898,265.1766662597656,-5882.6704948730285,-0.025849897168979452,2022-02-28,2022-03-08,8 days,,,
780.0,1054.0,1056.0,284.38431427001956,260.2033386230469,-18861.161004638692,-0.08502921727255719,2022-03-10,2022-03-14,4 days,,,
1087.0,1330.0,1334.0,186.69264733886718,164.8000030517578,-23797.304340087878,-0.1172657016715386,2023-04-17,2023-04-21,4 days,,,
,,,,,,,,,,Start,2018-01-02 00:00:00,
,,,,,,,,,,End,2024-06-26 00:00:00,
,,,,,,,,,,Duration,2367 days 00:00:00,
,,,,,,,,,,Exposure Time [%],9.31943592887799,
,,,,,,,,,,Equity Final [$],188428.64395895388,
,,,,,,,,,,Equity Peak [$],315172.2471680908,
,,,,,,,,,,Return [%],88.42864395895388,
,,,,,,,,,,Buy & Hold Return [%],818.9622805207305,
,,,,,,,,,,Return (Ann.) [%],10.283863206561627,
,,,,,,,,,,Volatility (Ann.) [%],24.241354472159017,
,,,,,,,,,,Sharpe Ratio,0.4242280776172203,
,,,,,,,,,,Sortino Ratio,0.7491374931030143,
,,,,,,,,,,Calmar Ratio,0.23504659473194753,
,,,,,,,,,,Max. Drawdown [%],-43.75244499197948,
,,,,,,,,,,Avg. Drawdown [%],-7.262858682211118,
,,,,,,,,,,Max. Drawdown Duration,1395 days 00:00:00,
,,,,,,,,,,Avg. Drawdown Duration,149 days 00:00:00,
,,,,,,,,,,# Trades,16,
,,,,,,,,,,Win Rate [%],56.25,
,,,,,,,,,,Best Trade [%],93.66744616039826,
,,,,,,,,,,Worst Trade [%],-11.72657016715386,
,,,,,,,,,,Avg. Trade [%],3.7159115835590173,
,,,,,,,,,,Max. Trade Duration,74 days 00:00:00,
,,,,,,,,,,Avg. Trade Duration,13 days 00:00:00,
,,,,,,,,,,Profit Factor,2.9305465485976208,
,,,,,,,,,,Expectancy [%],5.594006735619367,
,,,,,,,,,,SQN,0.6742140903084111,
,,,,,,,,,,_strategy,LongOnlyBollingerKeltnerChaikinSMAStrategy,
,,,,,,,,,,_equity_curve,"                   Equity  DrawdownPct DrawdownDuration
2018-01-02  100000.000000     0.000000              NaT
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2024-06-20  179244.150442     0.431282              NaT
2024-06-21  179244.150442     0.431282              NaT
2024-06-24  179244.150442     0.431282              NaT
2024-06-25  179244.150442     0.431282              NaT
2024-06-26  188428.643959     0.402141        1395 days

[1631 rows x 3 columns]",
,,,,,,,,,,_trades,"    Size  EntryBar  ExitBar  EntryPrice  ...  ReturnPct  EntryTime   ExitTime Duration
0   4402       228      235   22.715340  ...   0.082969 2018-11-27 2018-12-07  10 days
1   5083       290      292   21.303856  ...  -0.067086 2019-02-28 2019-03-04   4 days
2   1913       592      596   52.806070  ...  -0.002198 2020-05-11 2020-05-15   4 days
3   1909       596      601   52.795379  ...   0.038184 2020-05-15 2020-05-22   7 days
4   1905       601      606   54.920955  ...   0.041497 2020-05-22 2020-06-01  10 days
5   1901       606      659   57.314401  ...   0.936674 2020-06-01 2020-08-14  74 days
6   1897       659      676  111.221335  ...   0.068740 2020-08-14 2020-09-09  26 days
7   1540       697      701  146.438961  ...   0.023817 2020-10-08 2020-10-14   6 days
8   1537       701      706  150.226520  ...  -0.062083 2020-10-14 2020-10-21   7 days
9   1002       816      824  215.971073  ...   0.099993 2021-03-31 2021-04-13  13 days
10  1000       824      832  238.041799  ...   0.007946 2021-04-13 2021-04-23  10 days
11  1070       900      908  224.367838  ...   0.058842 2021-07-30 2021-08-11  12 days
12   723       991      995  351.605127  ...  -0.104109 2021-12-08 2021-12-14   6 days
13   836      1046     1052  272.213353  ...  -0.025850 2022-02-28 2022-03-08   8 days
14   780      1054     1056  284.384314  ...  -0.085029 2022-03-10 2022-03-14   4 days
15  1087      1330     1334  186.692647  ...  -0.117266 2023-04-17 2023-04-21   4 days

[16 rows x 10 columns]",
