date,balance,Type,type,price,quantity,date,Type,Metric,Value,Type,Date,Date,Open,High,Low,Close,Adj Close,Volume,bb_upper,bb_lower,kc_upper,kc_lower,chaikin,sma_100,signal_long,signal_short,buy_signal,sell_signal,Type
2020-01-01,98000.0,Performance,buy,108.68099975585938,18.40248069573148,2020-01-01,Trade History,Total Return,-0.07974025577787455,Metrics,,2020-01-01,108.68000030517578,111.41000366210938,108.62999725341795,108.68099975585938,108.68099975585938,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-02,96040.0,Performance,buy,108.71299743652344,18.029122977171397,2020-01-02,Trade History,Annualized Return,-0.025830719127114432,Metrics,,2020-01-02,108.71399688720705,108.86000061035156,108.22100067138672,108.71299743652344,108.71299743652344,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-03,94119.2,Performance,buy,108.54299926757812,17.696212680330312,2020-01-03,Trade History,Annualized Volatility,0.20649104844897184,Metrics,,2020-01-03,108.54000091552734,108.5510025024414,107.91500091552734,108.54299926757812,108.54299926757812,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-06,92236.81599999999,Performance,buy,107.96399688720705,17.435293748587117,2020-01-06,Trade History,Max Drawdown,-0.19272575207100018,Metrics,,2020-01-06,107.9990005493164,108.41000366210938,107.9219970703125,107.96399688720705,107.96399688720705,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-07,90392.07968,Performance,buy,108.40599822998048,17.016921112487154,2020-01-07,Trade History,Sharpe Ratio,-0.22195014975886543,Metrics,,2020-01-07,108.41100311279295,108.61699676513672,108.26100158691406,108.40599822998048,108.40599822998048,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-08,88584.2380864,Performance,buy,108.01599884033205,16.736794669392722,2020-01-08,Trade History,,,,,2020-01-08,107.97799682617188,109.08899688720705,107.65699768066406,108.01599884033205,108.01599884033205,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-09,86812.553324672,Performance,buy,109.03099822998048,16.249367523820727,2020-01-09,Trade History,,,,,2020-01-09,109.04900360107422,109.57599639892578,109.04900360107422,109.03099822998048,109.03099822998048,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-10,85076.30225817856,Performance,buy,109.50700378417967,15.855160003421387,2020-01-10,Trade History,,,,,2020-01-10,109.4990005493164,109.6750030517578,109.45600128173828,109.50700378417967,109.50700378417967,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-13,87329.96571975856,Performance,buy,109.56600189208984,15.529690011317403,2020-01-13,Trade History,,,,,2020-01-13,109.53399658203124,109.93499755859376,109.53199768066406,109.56600189208984,109.56600189208984,0.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-14,87566.42564154667,Performance,sell,109.56600189208984,18.40248069573148,2020-01-13,Trade History,,,,,2020-01-14,110.0,110.1709976196289,109.89099884033205,109.99199676513672,109.99199676513672,0.0,,,,,0.0,,0.0,0.0,,,Data with Signals
