type,price,quantity,date,balance,profit,Metric,Value
short,5755.7001953125,0.34748161511762204,2020-05-29,98000.0,-2000.0,,
partial_exit,5755.7001953125,0.17374080755881102,2020-05-29,99000.0,-1000.0,,
partial_exit,5819.2001953125,0.08687040377940551,2020-06-01,99505.51627063999,-494.48372936001397,,
full_exit,5835.10009765625,0.08687040377940551,2020-06-02,100012.41377221663,12.413772216634243,,
short,5719.7998046875,0.3497059938715138,2020-06-15,98012.1654967723,-1987.8345032276993,,
partial_exit,5719.7998046875,0.1748529969357569,2020-06-15,99012.28963449446,-987.7103655055398,,
partial_exit,5942.2998046875,0.08742649846787845,2020-06-16,99531.80409926464,-468.195900735358,,
full_exit,5991.7998046875,0.08742649846787845,2020-06-17,100055.64617570899,55.64617570898554,,
long,6156.2998046875,0.3250512462031986,2020-07-21,98054.5332521948,-1945.4667478051997,,
full_exit,5927.7998046875,0.3250512462031986,2020-07-31,99981.37196595155,-18.62803404845181,,
long,6042.2001953125,0.33094359251292754,2020-08-06,97981.74452663252,-2018.255473367477,,
full_exit,6076.39990234375,0.33094359251292754,2020-08-17,99992.69013985936,-7.309860140638193,,
long,6123.39990234375,0.32659206236583327,2020-08-18,97992.83633706218,-2007.163662937819,,
full_exit,6073.7998046875,0.32659206236583327,2020-08-28,99976.49114167226,-23.50885832773929,,
short,5883.2001953125,0.339871117156032,2020-09-17,97976.96131883882,-2023.0386811611825,,
partial_exit,5883.2001953125,0.169935558578016,2020-09-17,98976.72623025555,-1023.2737697444536,,
partial_exit,5864.5,0.084967779289008,2020-09-18,99475.01977189594,-524.9802281040611,,
full_exit,5822.60009765625,0.084967779289008,2020-09-21,99969.75317188175,-30.24682811825187,,
short,5784.10009765625,0.34567089602197604,2020-09-22,97970.35810844411,-2029.6418915558897,,
partial_exit,5784.10009765625,0.17283544801098802,2020-09-22,98970.05564016293,-1029.9443598370708,,
partial_exit,5923.89990234375,0.08641772400549401,2020-09-23,99481.98558695984,-518.0144130401604,,
full_exit,5875.89990234375,0.08641772400549401,2020-09-24,99989.76748300449,-10.232516995514743,,
long,6036.39990234375,0.33128940792733597,2020-10-07,97989.97213334439,-2010.0278666556114,,
full_exit,6229.39990234375,0.33128940792733597,2020-10-19,100053.70633873445,53.70633873445331,,
short,5960.2998046875,0.33573380406148984,2020-10-29,98052.63221195976,-1947.3677880402392,,
partial_exit,5960.2998046875,0.16786690203074492,2020-10-29,99053.1692753471,-946.8307246529002,,
partial_exit,5927.60009765625,0.08393345101537246,2020-10-30,99550.69320778245,-449.3067922175542,,
full_exit,5951.2998046875,0.08393345101537246,2020-11-02,100050.20633841697,50.20633841697418,,
long,6681.89990234375,0.2994663428086472,2021-01-05,98049.20221164863,-1950.7977883513668,,
full_exit,6715.39990234375,0.2994663428086472,2021-01-15,100060.23846090106,60.23846090106235,,
long,6770.39990234375,0.29558147200806445,2021-01-20,98059.03369168304,-1940.966308316958,,
