date,balance,Type,type,price,quantity,date,Type,Metric,Value,Type,Date,Date,Open,High,Low,Close,Adj Close,Volume,bb_upper,bb_lower,kc_upper,kc_lower,chaikin,sma_100,signal_long,signal_short,buy_signal,sell_signal,Type
2020-01-02,98000.0,Performance,buy,7604.2998046875,0.2630090937192067,2020-01-02,Trade History,Total Return,-0.3051042878836008,Metrics,,2020-01-02,7542.39990234375,7624.7998046875,7542.39990234375,7604.2998046875,7604.2998046875,482206700.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-03,96040.0,Performance,buy,7622.39990234375,0.25713686307606815,2020-01-03,Trade History,Annualized Return,-0.1120457760667064,Metrics,,2020-01-03,7604.2998046875,7626.39990234375,7551.0,7622.39990234375,7622.39990234375,475628900.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-06,94119.2,Performance,buy,7575.2998046875,0.2535609216167832,2020-01-06,Trade History,Annualized Volatility,0.21464668629124228,Metrics,,2020-01-06,7622.39990234375,7622.39990234375,7528.10009765625,7575.2998046875,7575.2998046875,516783400.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-07,92236.81599999999,Performance,buy,7573.89990234375,0.24853563214078056,2020-01-07,Trade History,Max Drawdown,-0.35974320128868165,Metrics,,2020-01-07,7575.2998046875,7604.60009765625,7562.10009765625,7573.89990234375,7573.89990234375,511576100.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-08,90392.07968,Performance,buy,7574.89990234375,0.24353276528832019,2020-01-08,Trade History,Sharpe Ratio,-0.6151773332644919,Metrics,,2020-01-08,7573.89990234375,7579.5,7525.0,7574.89990234375,7574.89990234375,606225000.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-09,88584.2380864,Performance,buy,7598.10009765625,0.23793337418095561,2020-01-09,Trade History,,,,,2020-01-09,7574.89990234375,7627.7998046875,7574.89990234375,7598.10009765625,7598.10009765625,653838100.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-10,86812.553324672,Performance,buy,7587.89990234375,0.23348815674028095,2020-01-10,Trade History,,,,,2020-01-10,7598.10009765625,7632.0,7585.10009765625,7587.89990234375,7587.89990234375,651315600.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-13,87079.80035617847,Performance,buy,7617.60009765625,0.22792625554439938,2020-01-13,Trade History,,,,,2020-01-13,7587.89990234375,7635.7998046875,7582.5,7617.60009765625,7617.60009765625,659019400.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-14,87298.2043490549,Performance,sell,7617.60009765625,0.2630090937192067,2020-01-13,Trade History,,,,,2020-01-14,7617.60009765625,7650.7001953125,7588.7998046875,7622.39990234375,7622.39990234375,697648200.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-15,85552.2402620738,Performance,buy,7622.39990234375,0.22848394592732668,2020-01-14,Trade History,,,,,2020-01-15,7622.39990234375,7642.7998046875,7609.39990234375,7642.7998046875,7642.7998046875,730575200.0,,,,,268018747.3712846,,0.0,0.0,,,Data with Signals
2020-01-16,85770.74330862811,Performance,sell,7622.39990234375,0.25713686307606815,2020-01-14,Trade History,,,,,2020-01-16,7642.7998046875,7653.60009765625,7595.2998046875,7609.7998046875,7609.7998046875,573564200.0,,,,,246947631.55068016,,0.0,0.0,,,Data with Signals
2020-01-17,85962.74002915424,Performance,buy,7642.7998046875,0.22844561307366174,2020-01-15,Trade History,,,,,2020-01-17,7609.7998046875,7689.7001953125,7609.7998046875,7674.60009765625,7674.60009765625,631970100.0,,,,,340955889.6083541,,0.0,0.0,,,Data with Signals
2020-01-20,87893.36306479672,Performance,buy,7609.7998046875,0.22484754515979555,2020-01-16,Trade History,,,,,2020-01-20,7674.60009765625,7682.7998046875,7639.60009765625,7651.39990234375,7651.39990234375,358980900.0,,,,,296594634.3231205,,0.0,0.0,,,Data with Signals
2020-01-21,87946.33538085115,Performance,sell,7609.7998046875,0.2535609216167832,2020-01-16,Trade History,,,,,2020-01-21,7651.39990234375,7651.39990234375,7550.5,7610.7001953125,7610.7001953125,656519300.0,,,,,291855451.5218369,,0.0,0.0,,,Data with Signals
2020-01-22,86187.40867323412,Performance,buy,7674.60009765625,0.22351846928108132,2020-01-17,Trade History,,,,,2020-01-22,7610.7001953125,7637.39990234375,7563.5,7571.89990234375,7571.89990234375,604636000.0,,,,,114735259.55185354,,0.0,0.0,,,Data with Signals
2020-01-23,86174.86249303697,Performance,sell,7674.60009765625,0.24853563214078056,2020-01-17,Trade History,,,,,2020-01-23,7571.89990234375,7572.10009765625,7503.2001953125,7507.7001953125,7507.7001953125,668616300.0,,,,,-153105817.56481636,,0.0,0.0,,,Data with Signals
2020-01-24,86184.64445698092,Performance,buy,7651.39990234375,0.22469807127143476,2020-01-20,Trade History,,,,,2020-01-24,7507.7001953125,7642.2001953125,7507.60009765625,7586.0,7586.0,605760000.0,,,,,-216969386.8302374,,0.0,0.0,,,Data with Signals
2020-01-27,87810.95458680001,Performance,sell,7651.39990234375,0.24353276528832019,2020-01-20,Trade History,,,,,2020-01-27,7586.0,7586.0,7392.7998046875,7412.10009765625,7412.10009765625,679457100.0,,,,,-396367767.11235225,,0.0,0.0,,,Data with Signals
2020-01-28,87736.75257005643,Performance,sell,7651.39990234375,0.23348815674028095,2020-01-20,Trade History,,,,,2020-01-28,7412.10009765625,7491.39990234375,7410.39990234375,7480.7001953125,7480.7001953125,535852000.0,,,,,-308270229.9198674,,0.0,0.0,,,Data with Signals
2020-01-29,85982.0175186553,Performance,buy,7610.7001953125,0.23097313206196468,2020-01-21,Trade History,,,,,2020-01-29,7480.7001953125,7514.7001953125,7462.2001953125,7483.60009765625,7483.60009765625,525036700.0,7705.757220498769,7455.052740438731,7727.9312962582235,7432.878664679277,-275072177.35586566,,0.0,0.0,,,Data with Signals
2020-01-30,85921.09833040791,Performance,sell,7610.7001953125,0.23793337418095561,2020-01-21,Trade History,,,,,2020-01-30,7483.60009765625,7483.60009765625,7357.60009765625,7382.0,7382.0,685501900.0,7720.874048693616,7417.705931775135,7718.985458519346,7404.0330775669645,-370123181.5652354,,0.0,0.0,,,Data with Signals
2020-01-31,85885.54660400322,Performance,buy,7571.89990234375,0.23229661383566066,2020-01-22,Trade History,,,,,2020-01-31,7382.0,7398.2998046875,7275.0,7286.0,7286.0,714049600.0,7745.686425569028,7359.253564665348,7701.234425267504,7369.306155001063,-562019561.4110454,,0.0,0.0,,,Data with Signals
2020-02-03,87534.20511010966,Performance,buy,7507.7001953125,0.22959736385596755,2020-01-23,Trade History,,,,,2020-02-03,7286.0,7360.0,7285.2001953125,7326.2998046875,7326.2998046875,645846700.0,7756.443029850895,7323.596960383479,7679.7739480098835,7350.9627302688195,-569101609.9632001,,0.0,0.0,,,Data with Signals
2020-02-04,87491.67943067985,Performance,sell,7507.7001953125,0.22792625554439938,2020-01-23,Trade History,,,,,2020-02-04,7326.2998046875,7442.10009765625,7326.2998046875,7439.7998046875,7439.7998046875,696703600.0,7753.4021304599,7313.22785000885,7678.976466354181,7337.366205362265,-307390861.29905105,,0.0,0.0,,,Data with Signals
