type,price,quantity,date,balance,profit,Metric,Value
long,2105.449951171875,0.9499157170118518,2020-12-29,98000.0,0.0,,
full_exit,2141.590087890625,0.9499157170118518,2021-01-28,100034.3300838841,34.330083884095075,,
long,2135.9599609375,0.9366685884877519,2021-02-01,98033.64348220642,0.0,,
full_exit,2160.300048828125,0.9366685884877519,2021-03-03,100057.12867965228,22.798595768181258,,
long,2167.7900390625,0.9231256429513238,2021-03-05,98055.98610605924,0.0,,
partial_exit,2385.800048828125,0.4615628214756619,2021-06-10,99157.18270807312,0.0,,
full_exit,2391.969970703125,0.4615628214756619,2021-06-11,100261.22711663591,204.09843698363693,,
long,2377.0,0.8435946749401423,2021-06-17,98256.0025743032,0.0,,
full_exit,2390.320068359375,0.8435946749401423,2021-07-19,100272.46385537373,11.236738737818087,,
long,2429.52001953125,0.8254508137349718,2021-07-20,98267.01457826626,0.0,,
full_exit,2465.93994140625,0.8254508137349718,2021-08-19,100302.52670952161,30.06285414787999,,
long,2487.0400390625,0.8066016238912749,2021-08-20,98296.47617533118,0.0,,
full_exit,2447.39990234375,0.8066016238912749,2021-09-20,100270.552910873,-31.97379864861432,,
long,2469.820068359375,0.8119664601922166,2021-10-07,98265.14185265554,0.0,,
full_exit,2566.610107421875,0.8119664601922166,2021-11-26,100349.14317627244,78.5902653994417,,
long,2597.31005859375,0.7727159323489012,2021-11-29,98342.16031274699,0.0,,
full_exit,2659.5,0.7727159323489012,2021-12-29,100397.19833482889,48.055158556453534,,
short,2099.39990234375,0.9564371058867481,2022-06-28,98389.25436813231,0.0,,
full_exit,2208.530029296875,0.9564371058867481,2022-07-27,100501.57443761699,104.37610278809734,,
short,2267.10009765625,0.8866090609895566,2022-07-29,98491.54294886465,0.0,,
full_exit,2217.7099609375,0.8866090609895566,2022-08-29,100457.78469487863,-43.789742738357745,,
short,2176.449951171875,0.9231343421500571,2022-08-31,98448.62900098106,0.0,,
full_exit,2088.389892578125,0.9231343421500571,2022-10-04,100376.493430619,-81.29126425963477,,
short,2083.85009765625,0.9633753746828003,2022-10-05,98368.96356200661,0.0,,
full_exit,2070.300048828125,0.9633753746828003,2022-11-04,100363.43964725222,-13.05378336677677,,
short,2089.5,0.9606455099043045,2022-11-07,98356.17085430717,0.0,,
full_exit,2195.85009765625,0.9606455099043045,2022-11-11,100465.60439104358,102.16474379136343,,
short,2099.360107421875,0.9571069206837568,2022-12-27,98456.29230322271,0.0,,
full_exit,2211.909912109375,0.9571069206837568,2023-01-23,100573.32658803159,107.72219698800473,,
short,2120.530029296875,0.9485678127499064,2023-03-10,98561.86005627096,0.0,,
full_exit,2253.360107421875,0.9485678127499064,2023-03-31,100699.32492470603,125.99833667444182,,
short,2365.7099609375,0.8513243515684417,2023-09-22,98685.3384262119,0.0,,
full_exit,2305.590087890625,0.8513243515684417,2023-10-23,100648.14341276803,-51.181511938004405,,
short,2262.550048828125,0.8896876642786148,2023-10-26,98635.18054451267,0.0,,
full_exit,2384.639892578125,0.8896876642786148,2023-11-03,100756.7652406861,108.62182791807572,,
short,2386.159912109375,0.8445097474763685,2023-11-06,98741.62993587238,0.0,,
full_exit,2520.159912109375,0.8445097474763685,2023-12-01,100869.92954684794,113.16430616183789,,
,,,,,,Total Return,0.008699295468479395
,,,,,,Annualized Return,0.001941459643381993
,,,,,,Annualized Volatility,0.04787524274801391
,,,,,,Max Drawdown,-0.021346964913883104
,,,,,,Sharpe Ratio,-0.37719997476915473
