type,price,quantity,date,balance,profit,Metric,Value
long,2105.449951171875,0.9499157170118518,2020-12-29,98000.0,-2000.0,,
full_exit,2163.489990234375,0.9499157170118518,2021-01-08,100055.13314532145,55.13314532145159,,
long,2135.9599609375,0.9368633773584968,2021-02-01,98054.03048241502,-1945.9695175849774,,
full_exit,2226.409912109375,0.9368633773584968,2021-02-11,100139.87239205824,139.87239205824153,,
long,2211.989990234375,0.9054278982650167,2021-03-01,98137.07494421708,-1862.9250557829218,,
full_exit,2227.300048828125,0.9054278982650167,2021-03-11,100153.7345462331,153.73454623309954,,
long,2229.5400390625,0.8984250813306477,2021-03-12,98150.65985530843,-1849.3401446915668,,
full_exit,2225.27001953125,0.8984250813306477,2021-03-22,100149.89825358844,149.89825358844246,,
long,2266.3798828125,0.8837873916292077,2021-04-01,98146.90028851667,-1853.0997114833299,,
full_exit,2326.239990234375,0.8837873916292077,2021-04-12,100202.80186178946,202.80186178945587,,
long,2358.35009765625,0.8497703709162767,2021-05-06,98198.74582455367,-1801.254175446331,,
full_exit,2336.1298828125,0.8497703709162767,2021-05-17,100183.91978157984,183.91978157983976,,
long,2357.89990234375,0.8497724579571604,2021-05-24,98180.24138594825,-1819.7586140517524,,
full_exit,2355.89990234375,0.8497724579571604,2021-06-03,100182.22023666392,182.22023666392488,,
long,2377.0,0.8429299136446271,2021-06-17,98178.57583193065,-1821.4241680693522,,
full_exit,2419.43994140625,0.8429299136446271,2021-06-28,100217.99413280858,217.99413280858425,,
long,2429.52001953125,0.8250024146921381,2021-07-20,98213.63425015242,-1786.3657498475804,,
full_exit,2469.169921875,0.8250024146921381,2021-07-30,100250.7053979845,250.70539798449317,,
long,2491.199951171875,0.8048386910960397,2021-08-17,98245.6912900248,-1754.308709975201,,
full_exit,2532.050048828125,0.8048386910960397,2021-08-27,100283.5831371133,283.5831371132954,,
long,2469.820068359375,0.8120719757834713,2021-10-07,98277.91147437102,-1722.0885256289766,,
full_exit,2522.239990234375,0.8120719757834713,2021-10-18,100326.15188664074,326.1518866407423,,
long,2566.610107421875,0.7817794498395161,2021-11-26,98319.62884890793,-1680.3711510920693,,
full_exit,2552.4599609375,0.7817794498395161,2021-12-06,100315.08959290704,315.08959290703933,,
long,2586.989990234375,0.7755351970559324,2021-12-16,98308.7878010489,-1691.212198951107,,
full_exit,2660.43994140625,0.7755351970559324,2021-12-27,100372.05261526286,372.05261526285904,,
short,2099.39990234375,0.9561975543888371,2022-06-28,98364.61156295761,-1635.3884370423912,,
partial_exit,2099.39990234375,0.47809877719441857,2022-06-28,99368.33208911023,-631.6679108897661,,
partial_exit,2095.989990234375,0.23904938859720928,2022-06-29,99869.37721478163,-130.6227852183656,,
full_exit,2075.9599609375,0.23904938859720928,2022-06-30,100365.63417419604,365.634174196035,,
short,2099.5400390625,0.9560725902518338,2022-07-01,98358.32149071211,-1641.6785092878854,,
partial_exit,2099.5400390625,0.4780362951259169,2022-07-01,99361.97783245408,-638.0221675459179,,
partial_exit,2105.659912109375,0.23901814756295844,2022-07-05,99865.26876404404,-134.73123595595825,,
full_exit,2110.409912109375,0.23901814756295844,2022-07-06,100369.69503183493,369.69503183492634,,
short,2144.300048828125,0.9361534556387076,2022-07-07,98362.30113119823,-1637.6988688017736,,
partial_exit,2144.300048828125,0.4680767278193538,2022-07-07,99365.99808151658,-634.0019184834237,,
partial_exit,2141.68994140625,0.2340383639096769,2022-07-08,99867.2356914051,-132.76430859489483,,
full_exit,2115.409912109375,0.2340383639096769,2022-07-11,100362.3227662335,362.32276623349753,,
short,2267.10009765625,0.8853806046763356,2022-07-29,98355.07631090883,-1644.9236890911707,,
partial_exit,2267.10009765625,0.4426903023381678,2022-07-29,99358.69953857116,-641.3004614288366,,
partial_exit,2261.699951171875,0.2213451511690839,2022-08-01,99859.31585616242,-140.684143837585,,
full_exit,2248.56005859375,0.2213451511690839,2022-08-02,100357.02372224462,357.0237222446158,,
short,2176.449951171875,0.9222084217301572,2022-08-31,98349.88324779972,-1650.1167522002797,,
partial_exit,2176.449951171875,0.4611042108650786,2022-08-31,99353.45348502217,-646.546514977832,,
partial_exit,2179.510009765625,0.2305521054325393,2022-09-01,99855.94410658492,-144.05589341507584,,
full_exit,2157.300048828125,0.2305521054325393,2022-09-02,100353.31417489197,353.3141748919734,,
short,2148.0400390625,0.9343709833145439,2022-09-06,98346.24789139413,-1653.7521086058696,,
partial_exit,2148.0400390625,0.46718549165727197,2022-09-06,99349.78103314305,-650.2189668569481,,
partial_exit,2188.5400390625,0.23359274582863598,2022-09-07,99861.00811022357,-138.99188977642916,,
full_exit,2204.72998046875,0.23359274582863598,2022-09-08,100376.01704017198,376.0170401719806,,
short,2167.179931640625,0.9263284102504964,2022-09-13,98368.49669936854,-1631.5033006314625,,
partial_exit,2167.179931640625,0.4631642051252482,2022-09-13,99372.25686977025,-627.7431302297482,,
partial_exit,2174.659912109375,0.2315821025626241,2022-09-14,99875.86918457519,-124.13081542481086,,
full_exit,2150.8701171875,0.2315821025626241,2022-09-15,100373.97220865259,373.97220865258714,,
