Date,Action,Price,Size,Cash,Portfolio Value
2020-06-30,BUY,10058.76953125,0.019883147673147458,9800.0,10000.0
2020-07-01,BUY,10154.6298828125,0.019301540505355614,9604.0,10001.906005526116
2020-07-02,BUY,10207.6298828125,0.018817296689354137,9411.92,10003.982793999578
2020-07-13,SELL (daily),10390.83984375,0.019883147673147458,9618.522603061307,10014.609335381516
2020-07-13,SELL (daily),10390.83984375,0.018817296689354137,9814.050119252712,10014.609335381516
2020-07-14,SELL (daily),10488.580078125,0.019301540505355614,10016.495872474308,10016.495872474308
2020-07-28,BUY,10402.08984375,0.019258622109465107,9816.165955024822,10016.495872474308
2020-07-29,BUY,10542.9404296875,0.018621305925970753,9619.842635924326,10019.208460682776
2020-07-30,BUY,10587.8095703125,0.018171544495657936,9427.44578320584,10020.908100500663
2020-07-31,BUY,10745.26953125,0.017547155528836962,9238.896867541724,10029.733963175899
2020-08-03,BUY,10902.7998046875,0.016947751097052325,9054.118930190889,10041.327975178805
2020-08-04,BUY,10941.169921875,0.016550549886056927,8873.03655158707,10044.802250357961
2020-08-10,SELL (daily),10968.3603515625,0.018621305925970753,9077.281745199803,10047.714261876852
2020-08-10,SELL (daily),10968.3603515625,0.017547155528836962,9269.745270185,10047.714261876852
2020-08-11,SELL (daily),10782.8203125,0.019258622109465107,9477.407531857702,10034.554191229889
2020-08-12,SELL (daily),11012.240234375,0.018171544495657936,9677.51694527352,10046.40828314292
2020-08-13,SELL (daily),11042.5,0.016947751097052325,9864.662486762722,10047.421933879505
2020-08-14,SELL (daily),11019.2998046875,0.016550549886056927,10047.037957889619,10047.037957889619
2020-10-01,BUY,11326.509765625,0.017740748325457734,9846.097198731826,10047.037957889619
2020-10-02,BUY,11075.01953125,0.017780731078531165,9649.17525475719,10042.576332935261
2020-10-05,BUY,11332.490234375,0.017029223154304097,9456.191749662046,10051.722073213446
2020-10-06,BUY,11154.599609375,0.0169547847180718,9267.067914668805,10042.373795891162
2020-10-12,SELL (daily),11876.259765625,0.017740748325457734,9477.761650218517,10092.533136699256
2020-10-15,SELL (daily),11713.8701171875,0.017029223154304097,9677.239758444637,10084.127078939558
2020-10-16,SELL (daily),11671.5595703125,0.0169547847180718,9875.128538283436,10082.65740027022
2020-10-19,SELL (daily),11478.8798828125,0.017780731078531165,10079.231414562486,10079.231414562486
2021-01-12,BUY,13072.4296875,0.015420593807745407,9877.646786271236,10079.231414562486
2021-01-13,BUY,13128.9501953125,0.015047123554171005,9680.09385054581,10080.10299435527
2021-01-14,BUY,13112.6396484375,0.01476452355906736,9486.491973534894,10079.606049223063
2021-01-15,BUY,12998.5,0.014596287223194821,9296.762134064196,10074.443257146302
2021-01-19,BUY,13197.1796875,0.014089013492587102,9110.826891382912,10086.329970421571
2021-01-22,SELL (daily),13543.0595703125,0.015420593807745407,9319.668911930801,10111.896561060685
2021-01-25,SELL (daily),13635.990234375,0.015047123554171005,9524.851341770911,10117.332721268065
2021-01-25,SELL (daily),13635.990234375,0.014596287223194821,9723.886171804528,10117.332721268065
2021-01-26,SELL (daily),13626.0595703125,0.01476452355906736,9925.068449347662,10117.046186484591
2021-01-29,SELL (daily),13070.6904296875,0.014089013492587102,10109.22158316896,10109.22158316896
2021-03-19,BUY,13215.240234375,0.015299338345546261,9907.03715150558,10109.22158316896
2021-03-26,BUY,13138.73046875,0.015080661217716755,9708.896408475468,10108.051034377924
2021-03-29,SELL (daily),13059.650390625,0.015299338345546261,9908.700418476184,10105.648581639023
2021-03-29,BUY,13059.650390625,0.015174526303689177,9710.52641010666,10105.648581639023
2021-03-31,BUY,13246.8701171875,0.014660861507968562,9516.315881904527,10111.312949573878
2021-04-01,BUY,13480.1103515625,0.014119047446524022,9325.989564266438,10121.789179376687
2021-04-05,SELL (daily),13705.58984375,0.015080661217716755,9532.67892148901,10135.100382951314
2021-04-06,BUY,13698.3798828125,0.013917965486487585,9342.025343059231,10134.783473190071
2021-04-12,SELL (daily),13850.0,0.014660861507968562,9545.078274944595,10143.558093372902
2021-04-13,SELL (daily),13996.099609375,0.014119047446524022,9742.689869395637,10149.871282375876
2021-04-16,SELL (daily),14052.33984375,0.013917965486487585,9938.269850345345,10151.507450932708
2021-04-29,BUY,14082.5498046875,0.014114304565835522,9739.504453338437,10151.965872779589
